"provision_id","norm_id","norm_title","norm_type","hierarchy_level","jurisdiction","article","provision_text","topic","actor_mentioned","power_granted","duty_created","procedure_created","coordination_mechanism","enforcement_or_sanction","rights_safeguard","budget_or_resource_implication","relevance_to_ihr","relevance_to_pandemic_agreement","source_url","version_date"
"MEX_PROV_RISI_ART012_001","MEX-016","Reglamento de la Ley General de Salud en Materia de Sanidad Internacional","regulation","5_regulation","federal","Artículo 12","Las enfermedades objeto de control sanitario internacional son las siguientes: I.-Cólera; II.-Fiebre Amarilla; III.-Peste, y IV.-Cualquier otra que determine la Organización Mundial de la Salud.","notifiable diseases; international sanitary control; WHO mandate","Organización Mundial de la Salud","","control sanitario internacional obligatorio para enfermedades listadas más las que determine OMS","","OMS determina enfermedades adicionales sujetas a control sanitario internacional","","","no","High — open-ended reference to WHO-determined diseases allows dynamic incorporation of IHR-notifiable conditions including new PHEICs","High — dynamic clause enables incorporation of pandemic agreement disease scope through WHO determinations","https://www.diputados.gob.mx/LeyesBiblio/pdf/ReglLGSMSI.pdf","1985-02-18"
"MEX_PROV_RISI_ART014_001","MEX-016","Reglamento de la Ley General de Salud en Materia de Sanidad Internacional","regulation","5_regulation","federal","Artículo 14","La Secretaría notificará, por la vía más rápida, a la Organización Mundial de la Salud las medidas adoptadas, sean temporales o permanentes, en materia de Sanidad Internacional especialmente las restricciones que se impongan, por motivos sanitarios, al tránsito de personas y de carga.","WHO notification; health measures; travel restrictions reporting","Secretaría de Salud; Organización Mundial de la Salud","","SS debe notificar a OMS por la vía más rápida las medidas sanitarias internacionales adoptadas, incluyendo restricciones al tránsito","notificación inmediata a OMS de medidas temporales o permanentes de sanidad internacional","canal de notificación SS-OMS para medidas de sanidad internacional","","","no","High — notification duty to WHO correlates with IHR Art. 43(5)-(6) obligation to notify and justify health measures affecting international traffic","High — transparency and notification obligations for health measures directly relevant to pandemic agreement accountability framework","https://www.diputados.gob.mx/LeyesBiblio/pdf/ReglLGSMSI.pdf","1985-02-18"
"MEX_PROV_NOM017_SEC311_001","MEX-012","NOM-017-SSA2-2012, Para la vigilancia epidemiológica","official mexican standard / NOM","7_NOM_or_technical_standard","federal","Numeral 3.1.11–3.1.12","3.1.11 Comité Nacional para la Vigilancia Epidemiológica (CONAVE), órgano colegiado a nivel federal interdisciplinario responsable de las políticas de vigilancia epidemiológica en el que participan las instituciones que conforman el Sistema Nacional de Salud. 3.1.12 Consejo de Salubridad General, Organo Colegiado dependiente directamente del Presidente de la República con carácter de autoridad sanitaria, sin intervención de ninguna Secretaría de Estado y sus disposiciones generales son obligatorias para las autoridades administrativas del país.","epidemiological surveillance; institutional definitions; CONAVE; CSG","CONAVE; Consejo de Salubridad General; Sistema Nacional de Salud","CSG: disposiciones generales obligatorias para autoridades administrativas","CONAVE: responsable de políticas de vigilancia epidemiológica","","CONAVE como órgano colegiado interinstitucional federal para vigilancia epidemiológica","disposiciones del CSG son obligatorias para todas las autoridades administrativas del país","","no","High — CONAVE is the technical governance body for SINAVE; CSG definition confirms its constitutional authority over epidemiological surveillance","High — these bodies are central to epidemic/pandemic surveillance governance and alert systems","https://dof.gob.mx/nota_detalle.php?codigo=5287967&fecha=19/02/2013","2013-02-19"
"MEX_PROV_NOM017_SEC3115_001","MEX-012","NOM-017-SSA2-2012, Para la vigilancia epidemiológica","official mexican standard / NOM","7_NOM_or_technical_standard","federal","Numeral 3.1.14–3.1.15","3.1.14 Emergencia epidemiológica, al evento de nueva aparición o reaparición, cuya presencia pone en riesgo la salud de la población, y que por su magnitud requiere de acciones inmediatas. 3.1.15 Emergencia en Salud Pública de Importancia Internacional (ESPII), significa un evento extraordinario que, de conformidad con el presente Reglamento Sanitario, se ha determinado que constituye un riesgo para la salud pública de otros estados a causa de la propagación internacional de una enfermedad, y podría exigir una respuesta internacional coordinada.","definitions; PHEIC/ESPII; epidemiological emergency","","","","","respuesta internacional coordinada requerida en caso de ESPII","","","no","High — ESPII definition reproduces IHR Art. 1 PHEIC definition; direct domestic anchoring of the IHR's core triggering concept","High — ESPII/PHEIC is the primary trigger for pandemic agreement activation; domestic definition alignment critical","https://dof.gob.mx/nota_detalle.php?codigo=5287967&fecha=19/02/2013","2013-02-19"
"MEX_PROV_NOM017_SEC42_001","MEX-012","NOM-017-SSA2-2012, Para la vigilancia epidemiológica","official mexican standard / NOM","7_NOM_or_technical_standard","federal","Numeral 4.2–4.3","4.2 La Secretaría de Salud es el órgano rector del SINAVE y funge como la instancia responsable de recopilar, procesar y difundir toda la información generada por el SNS. 4.3 La coordinación de los mecanismos de la vigilancia, diagnóstico y referencia epidemiológicos, se ejerce por conducto de la DGE, de conformidad con las disposiciones aplicables vigentes, en coordinación con los diferentes sectores del SNS.","SINAVE governance; DGE coordination; SS as rector","Secretaría de Salud; DGE; Sistema Nacional de Salud; SINAVE","SS: órgano rector del SINAVE; DGE: coordinación de mecanismos de vigilancia, diagnóstico y referencia epidemiológicos","SS: recopilar, procesar y difundir información del SNS; DGE: coordinar vigilancia epidemiológica","","DGE coordina sectores del SNS para vigilancia epidemiológica","","","no","High — confirms SS/DGE as operational IHR surveillance governance; DGE is NFP focal point for epidemiological notification","High — SINAVE institutional governance is the operational backbone for pandemic surveillance obligations","https://dof.gob.mx/nota_detalle.php?codigo=5287967&fecha=19/02/2013","2013-02-19"
"MEX_PROV_NOM017_SEC45_001","MEX-012","NOM-017-SSA2-2012, Para la vigilancia epidemiológica","official mexican standard / NOM","7_NOM_or_technical_standard","federal","Numeral 4.5","Es facultad del Consejo de Salubridad General determinar la adición, eliminación o actualización de los padecimientos, condiciones, eventos o urgencias epidemiológicas emergentes o reemergentes que pongan en riesgo la salud de la población, así como las causas de muerte de interés para la vigilancia epidemiológica.","CSG powers; notifiable diseases list; epidemiological update","Consejo de Salubridad General","CSG determina adición, eliminación o actualización de padecimientos y eventos bajo vigilancia epidemiológica","","","","","","no","High — CSG authority to dynamically update notifiable disease/event list enables rapid alignment with IHR notifications and PHEIC declarations","High — dynamic disease list governance essential for pandemic response adaptation","https://dof.gob.mx/nota_detalle.php?codigo=5287967&fecha=19/02/2013","2013-02-19"
"MEX_PROV_NOM017_SEC661_001","MEX-012","NOM-017-SSA2-2012, Para la vigilancia epidemiológica","official mexican standard / NOM","7_NOM_or_technical_standard","federal","Numeral 6.6.1–6.6.2","6.6.1 La DGE es el Centro Nacional de Enlace para el RSI para todo el territorio nacional y todas las instituciones dentro y fuera del sector. 6.6.2 El Centro Nacional de Enlace es la autoridad nacional responsable de notificar a las instancias internacionales sobre la existencia de una potencial ESPII.","IHR National Focal Point; DGE; PHEIC notification; RSI","DGE; Centro Nacional de Enlace para el RSI","","DGE es el NFP para el RSI; obligación de notificar a instancias internacionales sobre potencial ESPII","notificación internacional de potencial ESPII a través del CNE/DGE","DGE como punto único de enlace nacional para el RSI en todo el territorio y todos los sectores","","","no","High — explicitly designates DGE as IHR National Focal Point; this is the key operational provision for IHR Art. 4 implementation","High — NFP designation is foundational for pandemic agreement information-sharing and alert obligations","https://dof.gob.mx/nota_detalle.php?codigo=5287967&fecha=19/02/2013","2013-02-19"
"MEX_PROV_LFPA_ART001_001","MEX-005","Ley Federal de Procedimiento Administrativo","federal law","4_federal_or_national_law","federal","Artículo 1","Las disposiciones de esta ley son de orden e interés públicos, y se aplicarán a los actos, procedimientos y resoluciones de la Administración Pública Federal centralizada, sin perjuicio de lo dispuesto en los Tratados Internacionales de los que México sea parte. El presente ordenamiento también se aplicará a los organismos descentralizados de la administración pública federal paraestatal respecto a sus actos de autoridad, a los servicios que el estado preste de manera exclusiva, y a los contratos que los particulares sólo puedan celebrar con el mismo.","administrative procedure; scope; treaty compatibility","Administración Pública Federal centralizada; organismos descentralizados","","actos, procedimientos y resoluciones de la APF sujetos a esta ley; sin perjuicio de tratados internacionales","marco procedimental para actos administrativos federales","","","salvaguarda de tratados internacionales en procedimientos administrativos","no","Moderate — administrative procedure framework governing health regulatory acts; relevant for enforcement of IHR-related health regulations and administrative appeals","Moderate — procedural legality requirements applicable to pandemic-response administrative measures","https://www.diputados.gob.mx/LeyesBiblio/pdf/112.pdf","2025-11-14"
"MEX_PROV_LFPA_ART002_001","MEX-005","Ley Federal de Procedimiento Administrativo","federal law","4_federal_or_national_law","federal","Artículo 2","Esta Ley, salvo por lo que toca al título tercero A, se aplicará supletoriamente a las diversas leyes administrativas. El Código Nacional de Procedimientos Civiles y Familiares se aplicará, a su vez, supletoriamente a esta Ley, en lo conducente.","supletory application; administrative procedure","","","","LFPA como fuente supletoria para leyes administrativas sectoriales incluyendo leyes de salud","","","","no","Moderate — supletory application to health administrative acts including NOM compliance procedures and sanitary authority enforcement","Low — indirect; procedural gap-filler for administrative acts in health emergency contexts","https://www.diputados.gob.mx/LeyesBiblio/pdf/112.pdf","2025-11-14"
"MEX_PROV_LGPDPPSO_ART001_001","MEX-007","Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados","general law","3_general_law","federal and subnational","Artículo 1","La presente Ley es reglamentaria de los artículos 6o., Base A, y 16, segundo párrafo, de la Constitución Política de los Estados Unidos Mexicanos, en materia de protección de datos personales en posesión de sujetos obligados y, sus disposiciones son de orden público de interés social y de observancia general en todo el territorio nacional.","personal data protection; scope; constitutional basis","sujetos obligados (autoridades federales, estatales y municipales)","","protección de datos personales en posesión de sujetos obligados en todo el territorio nacional","","","","derecho a la protección de datos personales (Arts. 6 y 16 CPEUM)","no","Moderate — constrains and governs personal health data in surveillance systems; relevant for IHR Art. 45 treatment of personal data","Moderate — data protection obligations applicable to health information sharing in pandemic response","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGPDPPSO.pdf","2025-11-14"
"MEX_PROV_LGPDPPSO_ART016_001","MEX-007","Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados","general law","3_general_law","federal and subnational","Artículo 16","El responsable no estará obligado a recabar el consentimiento de la persona titular para el tratamiento de sus datos personales en los siguientes casos: [...] VI. Cuando exista una situación de emergencia que potencialmente pueda dañar a un individuo en su persona o en sus bienes; VII. Cuando los datos personales sean necesarios para efectuar un tratamiento para la prevención, diagnóstico o la prestación de asistencia sanitaria; [Extraction note: fracciones VI and VII selected as IHR-relevant; full enumeration omitted]","personal data; emergency exception; health data processing without consent","responsable del tratamiento de datos","tratamiento de datos personales sin consentimiento en situaciones de emergencia y para prevención/diagnóstico/asistencia sanitaria","","","","","excepciones tasadas al consentimiento — limitan derogación de privacidad a casos justificados","no","High — health emergency exception enables processing of personal health data required for IHR surveillance and notification without individual consent","High — sanitary assistance and emergency exceptions directly enable data flows necessary for pandemic monitoring and contact tracing","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGPDPPSO.pdf","2025-11-14"
"MEX_PROV_LGTAIP_ART001_001","MEX-008","Ley General de Transparencia y Acceso a la Información Pública","general law","3_general_law","federal and subnational","Artículo 1","La presente Ley es reglamentaria del artículo 6o. de la Constitución Política de los Estados Unidos Mexicanos, en materia de transparencia y acceso a la información pública y sus disposiciones son de orden público, de interés social y de observancia general en todo el territorio nacional, con el fin de garantizar el derecho humano al acceso a la información y promover la transparencia y rendición de cuentas.","transparency; access to information; constitutional basis","sujetos obligados (poderes Ejecutivo, Legislativo, Judicial; órganos autónomos; partidos políticos; fideicomisos públicos)","","garantizar el derecho humano al acceso a la información; promover transparencia y rendición de cuentas","","","","derecho humano al acceso a la información (Art. 6 CPEUM)","no","Moderate — transparency obligations applicable to health authorities; public access to health emergency data and IHR implementation reports","Moderate — accountability and transparency framework applicable to pandemic response institutions and data","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGTAIP.pdf","2025-03-20"
"MEX_PROV_LGTAIP_ART002_001","MEX-008","Ley General de Transparencia y Acceso a la Información Pública","general law","3_general_law","federal and subnational","Artículo 2","Esta Ley tiene por objeto: I. Establecer los principios, bases generales y procedimientos para garantizar el derecho de acceso a la información pública en posesión de cualquier autoridad, agencia, comisión, comité, corporación, ente, entidad, institución, órgano, organismo o equivalente de los poderes Ejecutivo, Legislativo y Judicial de los tres niveles de gobierno [...]; VIII. Promover, fomentar y difundir la cultura de la transparencia en el ejercicio de la función pública, el acceso a la información pública, la participación ciudadana y la rendición de cuentas, mediante políticas públicas y mecanismos que garanticen la difusión de información oportuna, verificable, comprensible, actualizada y completa. [Extraction note: fracciones I and VIII selected; full enumeration omitted]","transparency objectives; proactive disclosure; public accountability","autoridades de los tres niveles de gobierno; sujetos obligados","","difundir información oportuna, verificable, comprensible, actualizada y completa; garantizar acceso a información pública en posesión de autoridades de los tres niveles de gobierno","procedimientos para garantizar acceso a información pública","Sistema Nacional de Acceso a la Información","","acceso a información pública como derecho humano","no","Moderate — proactive disclosure duty supports public communication obligations under IHR; access to health authority information and surveillance data","Moderate — transparency and timely information-sharing obligations in pandemic response align with pandemic agreement accountability requirements","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGTAIP.pdf","2025-03-20"
"MEX_PROV_LICAL_ART001_001","MEX-011","Ley de Infraestructura de la Calidad","federal law","4_federal_or_national_law","federal","Artículo 1","La presente Ley es de orden público e interés social y sus disposiciones son de observancia general y obligatoria en todo el territorio nacional, sin perjuicio de lo dispuesto en los tratados internacionales de los que los Estados Unidos Mexicanos sean parte. Esta Ley tiene por objeto fijar y desarrollar las bases de la política industrial en el ámbito del Sistema Nacional de Infraestructura de la Calidad, a través de las actividades de normalización, estandarización, acreditación, Evaluación de la Conformidad y metrología, promoviendo el desarrollo económico y la calidad en la producción de bienes y servicios [...]. [Extraction note: remainder of fracciones I-VI omitted]","NOM legal basis; normalization; scope","Secretaría de Economía; Autoridades Normalizadoras","establece bases del Sistema Nacional de Infraestructura de la Calidad para normalización, acreditación y evaluación de conformidad","observancia general y obligatoria en todo el territorio nacional; compatible con tratados internacionales","","mecanismos de coordinación entre Autoridades Normalizadoras, sectores público, social y privado","","","no","Moderate — legal basis for NOM issuance; NOM-017 (epidemiological surveillance) and health-related NOMs derive authority from this law","Moderate — NOM framework governs technical standards relevant to health products and laboratory standards in pandemic response","https://www.diputados.gob.mx/LeyesBiblio/pdf/LICal_010720.pdf","2020-07-01"
"MEX_PROV_LICAL_ART010_001","MEX-011","Ley de Infraestructura de la Calidad","federal law","4_federal_or_national_law","federal","Artículo 10","Las Normas Oficiales Mexicanas tienen como finalidad atender las causas de los problemas identificados por las Autoridades Normalizadoras que afecten o que pongan en riesgo los objetivos legítimos de interés público. Para efectos de esta Ley, se consideran como objetivos legítimos de interés público: I. la protección y promoción a la salud; [...] VII. la seguridad nacional; [...]  Asimismo, se considera como un objetivo legítimo de interés público el cumplimiento con aquéllos señalados en los acuerdos y tratados internacionales suscritos por el Estado Mexicano. [Extraction note: fracciones I and VII, and treaty clause selected; full enumeration omitted]","NOM purpose; health protection; treaty compliance; public interest","Autoridades Normalizadoras; Secretaría de Salud","NOMs pueden ser emitidas para proteger y promover la salud y cumplir acuerdos y tratados internacionales","","","","","protección y promoción a la salud como objetivo legítimo de interés público","no","High — health protection and treaty compliance as legitimate public interest grounds for NOMs; enables NOM-017 and other IHR-implementing technical standards","High — international treaty compliance clause allows NOMs to implement pandemic agreement technical standards","https://www.diputados.gob.mx/LeyesBiblio/pdf/LICal_010720.pdf","2020-07-01"
"MEX-017-art02-estructuraadm","MEX-017","Reglamento Interior de la Secretaría de Salud","internal regulation","6_internal_regulation","federal","Art. 2","Al frente de la Secretaría estará la persona titular de la Secretaría, quien para el desahogo de los asuntos de su competencia se auxiliará de: A. Las personas servidoras públicas titulares de: I. Subsecretaría de Integración Sectorial...; VIII. Unidad de Acceso y Abasto de Insumos para la Salud; B. Las Unidades Administrativas: I. DG Consultivo; IX. DG Epidemiología; XXIII. DG Relaciones Internacionales; XX. DG Servicio Nacional de Salud Pública; C. Órganos desconcentrados: II. COFEPRIS; X. Centro Nacional de Prevención y Control de Enfermedades [fragmento; texto completo en fuente]","institutional structure; administrative units; deconcentrated bodies","Secretaría de Salud; DGE; COFEPRIS; CENAPRECE; SNSP; DGRI","Establishes organizational structure of SS and its subordinate units","","","Vertical hierarchy under SS titular","","","No","High — establishes DGE (RSI focal point), COFEPRIS (sanitary control), SNSP (emergency deployment) as institutional anchors","High — defines institutional architecture for health emergency response","DOF 2025-02-27","2025-02-27"
"MEX-017-art35-fraccXIX","MEX-017","Reglamento Interior de la Secretaría de Salud","internal regulation","6_internal_regulation","federal","Art. 35, frac. XIX","Fungir como enlace para el Reglamento Sanitario Internacional.","IHR national focal point; international health liaison; epidemiological surveillance","Dirección General de Epidemiología","Designates DGE as institutional IHR liaison within SS","DGE must serve as IHR liaison (functional focal point)","","Liaison role between SS and international health instruments; implied coordination with DGRI (art. 33) and SRE","","","No","High — direct IHR anchoring provision; designates DGE as IHR National Focal Point liaison at reglamentary level","High — focal point function relevant to pandemic agreement national authority identification","DOF 2025-02-27","2025-02-27"
"MEX-017-art35-fraccX","MEX-017","Reglamento Interior de la Secretaría de Salud","internal regulation","6_internal_regulation","federal","Art. 35, frac. X","Dirigir el Sistema Nacional de Vigilancia Epidemiológica y el Comité Nacional para la Vigilancia Epidemiológica, con el fin de orientar las acciones de prevención y control de enfermedades a nivel nacional.","epidemiological surveillance; SINAVE; national surveillance coordination","Dirección General de Epidemiología; Comité Nacional para la Vigilancia Epidemiológica","DGE directs SINAVE and the National Epidemiological Surveillance Committee","DGE must orient disease prevention and control actions nationally","","National epidemiological surveillance network; CONAVE committee","","","No","High — SINAVE is the primary national surveillance mechanism for IHR-mandated disease notification (IHR art. 5-12)","High — surveillance capacity core to pandemic alert and notification","DOF 2025-02-27","2025-02-27"
"MEX-017-art35-fraccVII","MEX-017","Reglamento Interior de la Secretaría de Salud","internal regulation","6_internal_regulation","federal","Art. 35, frac. VII","Dirigir las supervisiones o evaluaciones de la aplicación de las medidas de control de los problemas epidemiológicos del país, así como instrumentar directamente o en coordinación con las autoridades sanitarias de las entidades federativas, las medidas específicas para prevenir y combatir los daños a la salud derivados de las urgencias epidemiológicas.","epidemiological emergency response; health measures; federal-state coordination","Dirección General de Epidemiología; autoridades sanitarias de las entidades federativas","DGE can implement specific measures against epidemiological emergencies directly or in coordination with state health authorities","Duty to direct implementation of control measures; federal-state coordination in emergencies","Supervision and evaluation of epidemiological control measures","Federal-state coordination with state health authorities in epidemiological emergencies","","","No","High — emergency response capacity; IHR articles 12-15 (PHEIC); health response measures","High — emergency response procedures","DOF 2025-02-27","2025-02-27"
"MEX-017-art35-fraccVI","MEX-017","Reglamento Interior de la Secretaría de Salud","internal regulation","6_internal_regulation","federal","Art. 35, frac. VI","Desarrollar y proponer, a la persona titular de la Subsecretaría de Políticas de Salud y Bienestar Poblacional, en el ámbito de su competencia, el contenido para las normas oficiales mexicanas relacionadas a la vigilancia epidemiológica, así como vigilar el cumplimiento de las Normas Oficiales Mexicanas, en materia de vigilancia epidemiológica.","NOM elaboration; epidemiological surveillance standards; technical norms","Dirección General de Epidemiología; Subsecretaría de Políticas de Salud y Bienestar Poblacional","DGE proposes content for NOMs on epidemiological surveillance; monitors NOM compliance","Duty to develop NOM content for epidemiological surveillance","Proposal of NOMs to Subsecretaría for further processing","Proposal through hierarchical chain to SS Subsecretaría","NOM compliance monitoring","","No","High — NOM-017 (epidemiological surveillance) implements IHR obligations; DGE's role in NOM elaboration is the regulatory anchoring link","Moderate — technical standards for surveillance and reporting","DOF 2025-02-27","2025-02-27"
"MEX-017-art33-fraccI-IV","MEX-017","Reglamento Interior de la Secretaría de Salud","internal regulation","6_internal_regulation","federal","Art. 33, fracs. I-IV","Corresponde a la Dirección General de Relaciones Internacionales: I. Coordinar la representación y acreditación de la Secretaría en actividades internacionales, así como con organismos internacionales en materia de salud; II. Coordinar las actividades relativas a la agenda de salud internacional que realicen las Unidades Administrativas de la Secretaría; III. Verificar que los compromisos internacionales estén alineados con el Plan Nacional de Desarrollo y el Programa Sectorial de Salud; IV. Dar seguimiento a los compromisos internacionales que se adquieran en materia de salud.","international health coordination; international commitments; WHO representation","Dirección General de Relaciones Internacionales; organismos internacionales en materia de salud","DGRI coordinates SS representation at international bodies; tracks international health commitments","Duty to track and ensure alignment of international health commitments","","Coordination with SS technical units and international bodies; alignment verification with PND and PSS","","","No","High — DGRI manages SS engagement with WHO; relevant to IHR reporting and notification chains (alongside DGE focal point function)","High — coordinates pandemic agreement international engagement and commitment tracking","DOF 2025-02-27","2025-02-27"
"MEX-017-art43-fraccIX","MEX-017","Reglamento Interior de la Secretaría de Salud","internal regulation","6_internal_regulation","federal","Art. 43, frac. IX","Dirigir las estrategias de despliegue territorial para el apoyo en la atención de urgencias y emergencias en salud en coordinación con las Unidades Administrativas y órganos administrativos desconcentrados de la Secretaría y demás integrantes del Sistema Nacional de Salud.","health emergency response; territorial deployment; SNSP","Dirección General del Servicio Nacional de Salud Pública; Sistema Nacional de Salud","SNSP directs territorial deployment strategies for health emergency response","Duty to coordinate emergency response across SS and national health system","Territorial deployment in health emergencies","Coordination across all SS units and National Health System for emergency response","","","No","High — IHR core capacity for emergency response (IHR art. 13, Annex 1); SNSP is the operational coordination unit for health emergency territorial deployment","High — emergency response coordination mechanism","DOF 2025-02-27","2025-02-27"
"MEX-017-art52-fraccIX","MEX-017","Reglamento Interior de la Secretaría de Salud","internal regulation","6_internal_regulation","federal","Art. 52, frac. IX","Coordinar la instrumentación de las acciones en materia de seguridad en salud, en colaboración con las Unidades Administrativas competentes.","health security; CENAPRECE; intersectoral coordination","Centro Nacional de Prevención y Control de Enfermedades (CENAPRECE)","CENAPRECE coordinates health security actions","Duty to coordinate health security instrument with competent units","","Health security coordination with competent SS administrative units","","","No","Moderate — health security coordination is relevant to IHR core capacity for prevention and preparedness","Moderate — health security framework relevant to pandemic preparedness","DOF 2025-02-27","2025-02-27"
"MEX-017-art26-fraccI-II","MEX-017","Reglamento Interior de la Secretaría de Salud","internal regulation","6_internal_regulation","federal","Art. 26, fracs. I-II","Corresponde a la Dirección General de Información en Salud: I. Coordinar la definición, captación, integración, análisis, difusión y evaluación de la calidad de la información que generen los integrantes del Sistema Nacional de Salud; II. Administrar el Sistema Nacional de Información Básica en materia de Salud y el Sistema Nacional de Información en Salud, a efecto de proveer información a los integrantes del Sistema Nacional de Salud, a las dependencias, entidades, órganos autónomos y organismos internacionales como fuente oficial de información.","health information systems; SINAIS; official health data","Dirección General de Información en Salud; Sistema Nacional de Salud; organismos internacionales","DGIS administers national health information systems; provides data to international organizations as official source","Duty to coordinate and ensure quality of national health information; provide data to international bodies","National health information system administration","Coordination across all NHS members for information quality","","","No","High — IHR data and information sharing obligations (arts. 5-12); DGIS is the institutional link between domestic health data and international reporting","High — health data systems critical for pandemic monitoring and notification","DOF 2025-02-27","2025-02-27"
"MEX_PROV_LATIME_ART001_001","MEX-001","Ley sobre la Aprobación de Tratados Internacionales en Materia Económica","federal law","4_federal_or_national_law","federal","Art. 1","Esta ley es de orden público y tiene como objeto reglamentar el artículo 93 de la Constitución General de la República en materia de las facultades constitucionales del Senado de requerir información a los secretarios de estado, jefes de departamento administrativo, así como a los directores de los organismos descentralizados competentes sobre la negociación, celebración y aprobación de tratados relacionados con el comercio de mercancías, servicios, inversiones, transferencia de tecnología, propiedad intelectual, doble tributación, cooperación económica y con las demás materias a que se refiere este ordenamiento cuando se relacionen con las anteriores.","treaty approval; parliamentary oversight; technology transfer; treaties","Senado; Congreso de la Unión; Ejecutivo Federal","None identified","Secretarías de Estado and organismos descentralizados must provide information to Senate committees on treaty negotiations covering trade in goods, services, investments, technology transfer and related matters","Parliamentary information procedure for treaty negotiation, conclusion and approval under Art. 93 CPEUM","None identified","None identified","None identified","None identified","Contextual — procedural framework for Senate oversight of international treaty negotiations; may apply to IHR amendments and Pandemic Agreement if characterized as economic treaties involving health products or technology transfer","Indirect — treaty subject matter includes technology transfer and cooperation; directly relevant for Pandemic Agreement obligations on PABS, supply chains, technology transfer and equitable access","TBD_REVIEW","2004-09-02"
"MEX_PROV_LATIME_ART003_001","MEX-001","Ley sobre la Aprobación de Tratados Internacionales en Materia Económica","federal law","4_federal_or_national_law","federal","Art. 3","Para la aprobación de un tratado se observarán los siguientes objetivos generales: I. Contribuir a mejorar la calidad de vida y el nivel de bienestar de la población mexicana; II. Propiciar el aprovechamiento de los recursos productivos del país; III. Promover el acceso de los productos mexicanos a los mercados internacionales; IV. Contribuir a la diversificación de mercados; V. Fomentar la integración de la economía mexicana con la internacional y contribuir a la elevación de la competitividad del país, y VI. Promover la transparencia en las relaciones comerciales internacionales y el pleno respeto a los principios de política exterior de la fracción X del artículo 89 de la Constitución.","treaty approval; treaties; supply chains","Congreso de la Unión; Senado","None identified","General objectives (quality of life, productive resources, market access, transparency, foreign policy principles) must be observed in treaty approval; indirectly conditions approval of trade-related health agreements","None identified","None identified","None identified","None identified","None identified","Contextual — general treaty-approval objectives; not directly applicable to IHR but provides normative frame for treaty reception","Contextual — quality of life and equitable access objectives align with Pandemic Agreement preamble; supply chain and technology transfer objectives relevant to PABS and equitable access provisions","TBD_REVIEW","2004-09-02"
"MEX_PROV_LATIME_ART004_001","MEX-001","Ley sobre la Aprobación de Tratados Internacionales en Materia Económica","federal law","4_federal_or_national_law","federal","Art. 4, fracción IV","Para la aprobación de un tratado se observará congruencia con los siguientes objetivos particulares según proceda: [...] IV. Impulsar el fomento y la protección recíproca de las inversiones y las transferencias de tecnología, generación, difusión y aplicación de los conocimientos científicos y tecnológicos que requiere el desarrollo nacional; [...]","treaty approval; technology transfer; treaties","Congreso de la Unión; Senado","None identified","Treaty approval must observe objective of promoting reciprocal investment protection and technology transfer, including generation, diffusion and application of scientific and technological knowledge","None identified","None identified","None identified","None identified","None identified","Contextual — technology transfer objective may be relevant for IHR laboratory capacity and health technology provisions","Indirect — technology transfer objective directly relevant to Pandemic Agreement Articles on PABS, technology transfer, R&D and equitable access to health products and countermeasures","TBD_REVIEW","2004-09-02"
"MEX_PROV_LATIME_ART005_001","MEX-001","Ley sobre la Aprobación de Tratados Internacionales en Materia Económica","federal law","4_federal_or_national_law","federal","Art. 5","Al inicio de cada periodo ordinario de sesiones, el Senado, a través de las comisiones competentes, requerirá un informe a las Secretarías de Estado y a cualquier organismo de la administración pública federal que represente a México sobre el inicio de negociaciones formales de un tratado. El informe contendrá: I. Las razones para negociar así como las consecuencias de no hacerlo; II. Los beneficios y ventajas que se espera obtener de la negociación y la expectativa de cumplir con los objetivos de esta ley que correspondan conforme al tratado que se pretende celebrar, y III. Un programa inicial del proceso de negociación calendarizado.","treaty approval; parliamentary oversight; treaties","Senado; Congreso de la Unión; Ejecutivo Federal","Senate standing committees have power to require information from Federal Public Administration on treaty negotiations","Secretarías de Estado must report to Senate at start of each ordinary session on initiation of formal treaty negotiations, including reasons, expected benefits and negotiation timeline","Procedure: Senate committees require report at start of each ordinary session; committees may create plural subcommittees per treaty to monitor negotiations","None identified","None identified","None identified","None identified","Contextual — parliamentary oversight mechanism applicable when Mexico negotiates treaties in economic sectors; may apply to Pandemic Agreement to the extent it covers health products, technology transfer or supply chains","Indirect — oversight mechanism for treaty negotiations including technology transfer; relevant for monitoring Pandemic Agreement commitments on equitable access, PABS and supply chains","TBD_REVIEW","2004-09-02"
